global_problem_id,title,primary_topic,topics,techniques,prerequisites,risks,difficulty
codeforces_2094_H,La Vaca Saturno Saturnita,techniques,"[""techniques"", ""implementation_constructive"", ""math""]","[""binary_search"", ""brute_force"", ""number_theory"", ""direct_formula"", ""sorting""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""constraint_reading"", ""complexity_estimation"", ""divisibility"", ""modular_arithmetic"", ""algebraic_modeling"", ""integer_square_root"", ""overflow_awareness"", ""ordering_argument"", ""tie_handling""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""tle"", ""bad_complexity"", ""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""precision_error"", ""invalid_integer_root"", ""tie_handling"", ""wrong_ordering""]",1900.0
codeforces_2094_G,Chimpanzini Bananini,data_structures,"[""data_structures"", ""implementation_constructive"", ""math"", ""dynamic_programming"", ""techniques""]","[""data_structures"", ""constructive"", ""dynamic_programming"", ""sorting""]","[""operation_invariants"", ""complexity_tradeoffs"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""state_design"", ""transition_reasoning"", ""base_cases"", ""ordering_argument"", ""tie_handling""]","[""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1700.0
codeforces_2094_F,Trulimero Trulicina,implementation_constructive,"[""implementation_constructive"", ""greedy"", ""techniques""]","[""greedy"", ""sorting""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""ordering_argument"", ""tie_handling""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tie_handling"", ""wrong_ordering"", ""tle"", ""off_by_one""]",1600.0
codeforces_2094_E,Boneca Ambalabu,data_structures,"[""data_structures"", ""greedy""]","[""data_structures"", ""greedy""]","[""operation_invariants"", ""complexity_tradeoffs"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tle""]",1200.0
codeforces_2094_D,Tung Tung Sahur,greedy,"[""greedy"", ""strings"", ""techniques""]","[""greedy"", ""two_pointers"", ""sorting""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""monotonic_window"", ""ordering_argument"", ""tie_handling""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""pointer_invariant_bug"", ""off_by_one"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1100.0
codeforces_2094_C,Brr Brrr Patapim,math,"[""math"", ""greedy"", ""techniques""]","[""greedy"", ""sorting""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""ordering_argument"", ""tie_handling""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tie_handling"", ""wrong_ordering"", ""tle""]",900.0
codeforces_2094_B,Bobritto Bandito,implementation_constructive,"[""implementation_constructive"", ""greedy""]","[""brute_force"", ""greedy""]","[""constraint_reading"", ""complexity_estimation"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""tle"", ""bad_complexity"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases""]",800.0
codeforces_2094_A,Trippi Troppi,strings,"[""strings"", ""graphs""]","[""graphs""]","[""graph_modeling"", ""dfs_bfs"", ""tree_invariants""]","[""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""tle"", ""edge_cases""]",800.0
codeforces_2065_H,Bro Thinks He's Him,math,"[""math"", ""data_structures"", ""techniques"", ""dynamic_programming""]","[""data_structures"", ""dynamic_programming"", ""number_theory""]","[""operation_invariants"", ""complexity_tradeoffs"", ""state_design"", ""transition_reasoning"", ""base_cases"", ""divisibility"", ""modular_arithmetic""]","[""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""tle"", ""edge_cases""]",2200.0
codeforces_2065_G,Skibidus and Capping,math,"[""math""]","[""number_theory""]","[""divisibility"", ""modular_arithmetic""]","[""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""tle""]",1700.0
codeforces_2065_F,Skibidus and Slay,data_structures,"[""data_structures"", ""graphs"", ""greedy""]","[""data_structures"", ""graphs"", ""greedy""]","[""operation_invariants"", ""complexity_tradeoffs"", ""graph_modeling"", ""dfs_bfs"", ""tree_invariants"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tle""]",1700.0
codeforces_2065_E,Skibidus and Rizz,implementation_constructive,"[""implementation_constructive"", ""greedy"", ""strings""]","[""greedy"", ""constructive""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""pattern_recognition"", ""case_splitting"", ""validity_proof""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""invalid_construction"", ""proof_gap"", ""tle""]",1600.0
codeforces_2065_D,Skibidus and Sigma,greedy,"[""greedy"", ""techniques""]","[""greedy"", ""sorting""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""ordering_argument"", ""tie_handling""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1200.0
codeforces_2065_C2,Skibidus and Fanum Tax (hard version),techniques,"[""techniques"", ""greedy""]","[""binary_search"", ""greedy"", ""sorting""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""ordering_argument"", ""tie_handling""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1300.0
codeforces_2065_C1,Skibidus and Fanum Tax (easy version),techniques,"[""techniques"", ""dynamic_programming"", ""greedy""]","[""binary_search"", ""dynamic_programming"", ""greedy"", ""sorting""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""state_design"", ""transition_reasoning"", ""base_cases"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""ordering_argument"", ""tie_handling""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1100.0
codeforces_2065_B,Skibidus and Ohio,strings,"[""strings"", ""greedy""]","[""greedy""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tle""]",800.0
codeforces_2065_A,Skibidus and Amog'u,implementation_constructive,"[""implementation_constructive"", ""greedy"", ""strings""]","[""brute_force"", ""greedy"", ""constructive""]","[""constraint_reading"", ""complexity_estimation"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""pattern_recognition"", ""case_splitting"", ""validity_proof""]","[""tle"", ""bad_complexity"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""invalid_construction"", ""proof_gap""]",800.0
codeforces_2044_H,Hard Demon Problem,implementation_constructive,"[""implementation_constructive"", ""data_structures"", ""dynamic_programming"", ""math"", ""techniques""]","[""data_structures"", ""dynamic_programming"", ""constructive"", ""prefix_sums"", ""sorting""]","[""operation_invariants"", ""complexity_tradeoffs"", ""state_design"", ""transition_reasoning"", ""base_cases"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""range_aggregation"", ""index_boundaries"", ""ordering_argument"", ""tie_handling""]","[""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""indexing_bug"", ""off_by_one"", ""tie_handling"", ""wrong_ordering"", ""tle""]",2100.0
codeforces_2044_G2,Medium Demon Problem (hard version),graphs,"[""graphs"", ""dynamic_programming"", ""data_structures"", ""implementation_constructive"", ""greedy"", ""techniques""]","[""dynamic_programming"", ""graphs"", ""constructive"", ""data_structures"", ""greedy"", ""sorting""]","[""state_design"", ""transition_reasoning"", ""base_cases"", ""graph_modeling"", ""dfs_bfs"", ""tree_invariants"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""operation_invariants"", ""complexity_tradeoffs"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""ordering_argument"", ""tie_handling""]","[""wrong_state"", ""missing_base_case"", ""bad_complexity"", ""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""wrong_proof"", ""hidden_counterexample"", ""tie_handling"", ""wrong_ordering"", ""tle""]",1900.0
codeforces_2044_G1,Medium Demon Problem (easy version),graphs,"[""graphs"", ""graph_matchings"", ""implementation_constructive"", ""greedy""]","[""graphs"", ""constructive"", ""greedy""]","[""graph_modeling"", ""dfs_bfs"", ""tree_invariants"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root"", ""invalid_construction"", ""edge_cases"", ""proof_gap"", ""wrong_proof"", ""hidden_counterexample"", ""tle""]",1700.0
codeforces_2044_F,Easy Demon Problem,techniques,"[""techniques"", ""implementation_constructive"", ""data_structures"", ""math"", ""greedy""]","[""binary_search"", ""brute_force"", ""data_structures"", ""number_theory"", ""direct_formula"", ""greedy"", ""constructive""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""constraint_reading"", ""complexity_estimation"", ""operation_invariants"", ""complexity_tradeoffs"", ""divisibility"", ""modular_arithmetic"", ""algebraic_modeling"", ""integer_square_root"", ""overflow_awareness"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""pattern_recognition"", ""case_splitting"", ""validity_proof""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""tle"", ""bad_complexity"", ""stale_update"", ""wrong_query_range"", ""complexity_bug"", ""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""precision_error"", ""invalid_integer_root"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""invalid_construction"", ""proof_gap""]",1900.0
codeforces_2044_E,Insane Problem,techniques,"[""techniques"", ""greedy"", ""implementation_constructive"", ""math""]","[""binary_search"", ""greedy"", ""constructive"", ""number_theory""]","[""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness"", ""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""divisibility"", ""modular_arithmetic""]","[""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof"", ""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""invalid_construction"", ""proof_gap"", ""modulo_bug"", ""overflow"", ""divisibility_edge_case"", ""tle"", ""bad_complexity""]",1300.0
codeforces_2044_D,Harder Problem,implementation_constructive,"[""implementation_constructive"", ""greedy"", ""math"", ""techniques""]","[""greedy"", ""constructive"", ""prefix_sums""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing"", ""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""range_aggregation"", ""index_boundaries""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""invalid_construction"", ""proof_gap"", ""indexing_bug"", ""off_by_one"", ""tle""]",1100.0
codeforces_2044_C,Hard Problem,greedy,"[""greedy"", ""math""]","[""greedy""]","[""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""]","[""wrong_proof"", ""hidden_counterexample"", ""edge_cases"", ""tle""]",800.0
codeforces_2044_B,Normal Problem,implementation_constructive,"[""implementation_constructive"", ""strings"", ""techniques""]","[""constructive"", ""sorting""]","[""pattern_recognition"", ""case_splitting"", ""validity_proof"", ""ordering_argument"", ""tie_handling""]","[""invalid_construction"", ""edge_cases"", ""proof_gap"", ""tie_handling"", ""wrong_ordering"", ""tle""]",800.0
