node_id,parent_node_id,global_problem_id,node_type,title,text,depth,order,source,normalized_difficulty,normalized_tags,topic_group,url,metadata
pi::pedagogy::prerequisite::validity_proof,pi::pedagogy::prerequisites,,PREREQUISITE,Validity Proof,Prerequisite skill: validity proof.,3,1,,,"[""validity_proof""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""validity_proof""}"
pi::pedagogy::risk::invalid_construction,pi::pedagogy::risks,,RISK,Invalid Construction,Common risk: invalid construction. Useful for hinting and answer validation.,3,1,,,"[""invalid_construction""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""invalid_construction""}"
pi::pedagogy::risk::edge_cases,pi::pedagogy::risks,,RISK,Edge Cases,Common risk: edge cases. Useful for hinting and answer validation.,3,1,,,"[""edge_cases""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""edge_cases""}"
pi::pedagogy::risk::proof_gap,pi::pedagogy::risks,,RISK,Proof Gap,Common risk: proof gap. Useful for hinting and answer validation.,3,1,,,"[""proof_gap""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""proof_gap""}"
pi::pedagogy::technique::number_theory,pi::pedagogy::topic::math,,TECHNIQUE,Number Theory,"Technique number theory. Prerequisites: divisibility, modular_arithmetic. Common risks: modulo_bug, overflow, divisibility_edge_case.",3,1,,,"[""number_theory"", ""math""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""number_theory""}"
pi::pedagogy::approach::codeforces_2218_G::number_theory,pi::problem::codeforces_2218_G,codeforces_2218_G,APPROACH,"The 67th Iteration of ""Counting is Fun"" - Number Theory Approach","This problem can be interpreted through number theory. Evidence: , and that $676767677$ is prime.. Prerequisites: divisibility, modular_arithmetic. Common risks: modulo_bug, overflow, divisibility_edge_case.",4,1,codeforces,1800.0,"[""implementation_constructive"", ""math"", ""number_theory""]","[""implementation_constructive"", ""math"", ""techniques""]",https://codeforces.com/problemset/problem/2218/G,"{""layer"": ""pedagogical_graph"", ""technique"": ""number_theory"", ""prerequisites"": [""divisibility"", ""modular_arithmetic""], ""risks"": [""modulo_bug"", ""overflow"", ""divisibility_edge_case""], ""evidence"": "", and that $676767677$ is prime.""}"
pi::pedagogy::prerequisite::divisibility,pi::pedagogy::prerequisites,,PREREQUISITE,Divisibility,Prerequisite skill: divisibility.,3,1,,,"[""divisibility""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""divisibility""}"
pi::pedagogy::prerequisite::modular_arithmetic,pi::pedagogy::prerequisites,,PREREQUISITE,Modular Arithmetic,Prerequisite skill: modular arithmetic.,3,1,,,"[""modular_arithmetic""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""modular_arithmetic""}"
pi::pedagogy::risk::modulo_bug,pi::pedagogy::risks,,RISK,Modulo Bug,Common risk: modulo bug. Useful for hinting and answer validation.,3,1,,,"[""modulo_bug""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""modulo_bug""}"
pi::pedagogy::risk::overflow,pi::pedagogy::risks,,RISK,Overflow,Common risk: overflow. Useful for hinting and answer validation.,3,1,,,"[""overflow""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""overflow""}"
pi::pedagogy::risk::divisibility_edge_case,pi::pedagogy::risks,,RISK,Divisibility Edge Case,Common risk: divisibility edge case. Useful for hinting and answer validation.,3,1,,,"[""divisibility_edge_case""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""divisibility_edge_case""}"
pi::pedagogy::technique::prefix_sums,pi::pedagogy::topic::techniques,,TECHNIQUE,Prefix Sums,"Technique prefix sums. Prerequisites: range_aggregation, index_boundaries. Common risks: indexing_bug, off_by_one.",3,1,,,"[""prefix_sums"", ""techniques""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""prefix_sums""}"
pi::pedagogy::approach::codeforces_2218_G::prefix_sums,pi::problem::codeforces_2218_G,codeforces_2218_G,APPROACH,"The 67th Iteration of ""Counting is Fun"" - Prefix Sums Approach","This problem can be interpreted through prefix sums. Evidence: For a time $t$, we can calculate $c_t$ using prefix sums as it is the sum of $c_{t-1}$ and the number of people that sit down at time $t$.. Prerequisites: range_aggregation, index_boundaries. Common risks: indexing_bug, off_by_one.",4,1,codeforces,1800.0,"[""implementation_constructive"", ""math"", ""prefix_sums""]","[""implementation_constructive"", ""math"", ""techniques""]",https://codeforces.com/problemset/problem/2218/G,"{""layer"": ""pedagogical_graph"", ""technique"": ""prefix_sums"", ""prerequisites"": [""range_aggregation"", ""index_boundaries""], ""risks"": [""indexing_bug"", ""off_by_one""], ""evidence"": ""For a time $t$, we can calculate $c_t$ using prefix sums as it is the sum of $c_{t-1}$ and the number of people that sit down at time $t$.""}"
pi::pedagogy::prerequisite::range_aggregation,pi::pedagogy::prerequisites,,PREREQUISITE,Range Aggregation,Prerequisite skill: range aggregation.,3,1,,,"[""range_aggregation""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""range_aggregation""}"
pi::pedagogy::prerequisite::index_boundaries,pi::pedagogy::prerequisites,,PREREQUISITE,Index Boundaries,Prerequisite skill: index boundaries.,3,1,,,"[""index_boundaries""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""index_boundaries""}"
pi::pedagogy::risk::indexing_bug,pi::pedagogy::risks,,RISK,Indexing Bug,Common risk: indexing bug. Useful for hinting and answer validation.,3,1,,,"[""indexing_bug""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""indexing_bug""}"
pi::pedagogy::risk::off_by_one,pi::pedagogy::risks,,RISK,Off By One,Common risk: off by one. Useful for hinting and answer validation.,3,1,,,"[""off_by_one""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""off_by_one""}"
pi::pedagogy::topic::graphs,pi::pedagogy::root,,TOPIC,Graphs,"Graph, tree, traversal, connectivity, and structure-based reasoning.",2,2,,,"[""graphs""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""graphs""}"
pi::pedagogy::topic::dynamic_programming,pi::pedagogy::root,,TOPIC,Dynamic Programming,"State definition, recurrence, transitions, and optimization over subproblems.",2,2,,,"[""dynamic_programming""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""dynamic_programming""}"
pi::pedagogy::approach::codeforces_2218_F::constructive,pi::problem::codeforces_2218_F,codeforces_2218_F,APPROACH,The 67th Tree Problem - Constructive Approach,"This problem can be interpreted through constructive. Evidence: Your task is to construct a tree with $x + y$ nodes, rooted at node $1$, such that:. Prerequisites: pattern_recognition, case_splitting, validity_proof. Common risks: invalid_construction, edge_cases, proof_gap.",4,2,codeforces,1500.0,"[""implementation_constructive"", ""graphs"", ""constructive""]","[""implementation_constructive"", ""graphs"", ""dynamic_programming""]",https://codeforces.com/problemset/problem/2218/F,"{""layer"": ""pedagogical_graph"", ""technique"": ""constructive"", ""prerequisites"": [""pattern_recognition"", ""case_splitting"", ""validity_proof""], ""risks"": [""invalid_construction"", ""edge_cases"", ""proof_gap""], ""evidence"": ""Your task is to construct a tree with $x + y$ nodes, rooted at node $1$, such that:""}"
pi::pedagogy::technique::graphs,pi::pedagogy::topic::graphs,,TECHNIQUE,Graphs,"Technique graphs. Prerequisites: graph_modeling, dfs_bfs, tree_invariants. Common risks: visited_state_bug, recursion_depth, wrong_tree_root.",3,2,,,"[""graphs"", ""graphs""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""graphs""}"
pi::pedagogy::approach::codeforces_2218_F::graphs,pi::problem::codeforces_2218_F,codeforces_2218_F,APPROACH,The 67th Tree Problem - Graphs Approach,"This problem can be interpreted through graphs. Evidence: The 67th Tree Problem. Prerequisites: graph_modeling, dfs_bfs, tree_invariants. Common risks: visited_state_bug, recursion_depth, wrong_tree_root.",4,2,codeforces,1500.0,"[""implementation_constructive"", ""graphs""]","[""implementation_constructive"", ""graphs"", ""dynamic_programming""]",https://codeforces.com/problemset/problem/2218/F,"{""layer"": ""pedagogical_graph"", ""technique"": ""graphs"", ""prerequisites"": [""graph_modeling"", ""dfs_bfs"", ""tree_invariants""], ""risks"": [""visited_state_bug"", ""recursion_depth"", ""wrong_tree_root""], ""evidence"": ""The 67th Tree Problem""}"
pi::pedagogy::prerequisite::graph_modeling,pi::pedagogy::prerequisites,,PREREQUISITE,Graph Modeling,Prerequisite skill: graph modeling.,3,2,,,"[""graph_modeling""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""graph_modeling""}"
pi::pedagogy::prerequisite::dfs_bfs,pi::pedagogy::prerequisites,,PREREQUISITE,Dfs Bfs,Prerequisite skill: dfs bfs.,3,2,,,"[""dfs_bfs""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""dfs_bfs""}"
pi::pedagogy::prerequisite::tree_invariants,pi::pedagogy::prerequisites,,PREREQUISITE,Tree Invariants,Prerequisite skill: tree invariants.,3,2,,,"[""tree_invariants""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""tree_invariants""}"
pi::pedagogy::risk::visited_state_bug,pi::pedagogy::risks,,RISK,Visited State Bug,Common risk: visited state bug. Useful for hinting and answer validation.,3,2,,,"[""visited_state_bug""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""visited_state_bug""}"
pi::pedagogy::risk::recursion_depth,pi::pedagogy::risks,,RISK,Recursion Depth,Common risk: recursion depth. Useful for hinting and answer validation.,3,2,,,"[""recursion_depth""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""recursion_depth""}"
pi::pedagogy::risk::wrong_tree_root,pi::pedagogy::risks,,RISK,Wrong Tree Root,Common risk: wrong tree root. Useful for hinting and answer validation.,3,2,,,"[""wrong_tree_root""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""wrong_tree_root""}"
pi::pedagogy::technique::dynamic_programming,pi::pedagogy::topic::dynamic_programming,,TECHNIQUE,Dynamic Programming,"Technique dynamic programming. Prerequisites: state_design, transition_reasoning, base_cases. Common risks: wrong_state, missing_base_case, bad_complexity.",3,2,,,"[""dynamic_programming"", ""dynamic_programming""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""dynamic_programming""}"
pi::pedagogy::approach::codeforces_2218_F::dynamic_programming,pi::problem::codeforces_2218_F,codeforces_2218_F,APPROACH,The 67th Tree Problem - Dynamic Programming Approach,"This problem can be interpreted through dynamic programming. Evidence: The editorial does not state time/memory complexity.. Prerequisites: state_design, transition_reasoning, base_cases. Common risks: wrong_state, missing_base_case, bad_complexity.",4,2,codeforces,1500.0,"[""implementation_constructive"", ""graphs"", ""dynamic_programming""]","[""implementation_constructive"", ""graphs"", ""dynamic_programming""]",https://codeforces.com/problemset/problem/2218/F,"{""layer"": ""pedagogical_graph"", ""technique"": ""dynamic_programming"", ""prerequisites"": [""state_design"", ""transition_reasoning"", ""base_cases""], ""risks"": [""wrong_state"", ""missing_base_case"", ""bad_complexity""], ""evidence"": ""The editorial does not state time/memory complexity.""}"
pi::pedagogy::prerequisite::state_design,pi::pedagogy::prerequisites,,PREREQUISITE,State Design,Prerequisite skill: state design.,3,2,,,"[""state_design""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""state_design""}"
pi::pedagogy::prerequisite::transition_reasoning,pi::pedagogy::prerequisites,,PREREQUISITE,Transition Reasoning,Prerequisite skill: transition reasoning.,3,2,,,"[""transition_reasoning""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""transition_reasoning""}"
pi::pedagogy::prerequisite::base_cases,pi::pedagogy::prerequisites,,PREREQUISITE,Base Cases,Prerequisite skill: base cases.,3,2,,,"[""base_cases""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""base_cases""}"
pi::pedagogy::risk::wrong_state,pi::pedagogy::risks,,RISK,Wrong State,Common risk: wrong state. Useful for hinting and answer validation.,3,2,,,"[""wrong_state""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""wrong_state""}"
pi::pedagogy::risk::missing_base_case,pi::pedagogy::risks,,RISK,Missing Base Case,Common risk: missing base case. Useful for hinting and answer validation.,3,2,,,"[""missing_base_case""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""missing_base_case""}"
pi::pedagogy::risk::bad_complexity,pi::pedagogy::risks,,RISK,Bad Complexity,Common risk: bad complexity. Useful for hinting and answer validation.,3,2,,,"[""bad_complexity""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""bad_complexity""}"
pi::pedagogy::topic::data_structures,pi::pedagogy::root,,TOPIC,Data Structures,"Efficient state maintenance with sets, heaps, DSU, Fenwick, or segment trees.",2,3,,,"[""data_structures""]","[""data_structures""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""data_structures""}"
pi::pedagogy::topic::greedy,pi::pedagogy::root,,TOPIC,Greedy,"Local choices, exchange arguments, sorting decisions, and proof of optimality.",2,3,,,"[""greedy""]","[""greedy""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""greedy""}"
pi::pedagogy::technique::binary_search,pi::pedagogy::topic::techniques,,TECHNIQUE,Binary Search,"Technique binary search. Prerequisites: monotonic_predicate, bounds_reasoning, integer_overflow_awareness. Common risks: wrong_bounds, off_by_one, missing_monotonicity_proof.",3,3,,,"[""binary_search"", ""techniques""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""binary_search""}"
pi::pedagogy::approach::codeforces_2218_E::binary_search,pi::problem::codeforces_2218_E,codeforces_2218_E,APPROACH,The 67th XOR Problem - Binary Search Approach,"This problem can be interpreted through binary search. Evidence: binary search bitmasks brute force. Prerequisites: monotonic_predicate, bounds_reasoning, integer_overflow_awareness. Common risks: wrong_bounds, off_by_one, missing_monotonicity_proof.",4,3,codeforces,1200.0,"[""techniques"", ""data_structures"", ""implementation_constructive"", ""binary_search""]","[""techniques"", ""data_structures"", ""implementation_constructive"", ""greedy""]",https://codeforces.com/problemset/problem/2218/E,"{""layer"": ""pedagogical_graph"", ""technique"": ""binary_search"", ""prerequisites"": [""monotonic_predicate"", ""bounds_reasoning"", ""integer_overflow_awareness""], ""risks"": [""wrong_bounds"", ""off_by_one"", ""missing_monotonicity_proof""], ""evidence"": ""binary search bitmasks brute force""}"
pi::pedagogy::prerequisite::monotonic_predicate,pi::pedagogy::prerequisites,,PREREQUISITE,Monotonic Predicate,Prerequisite skill: monotonic predicate.,3,3,,,"[""monotonic_predicate""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""monotonic_predicate""}"
pi::pedagogy::prerequisite::bounds_reasoning,pi::pedagogy::prerequisites,,PREREQUISITE,Bounds Reasoning,Prerequisite skill: bounds reasoning.,3,3,,,"[""bounds_reasoning""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""bounds_reasoning""}"
pi::pedagogy::prerequisite::integer_overflow_awareness,pi::pedagogy::prerequisites,,PREREQUISITE,Integer Overflow Awareness,Prerequisite skill: integer overflow awareness.,3,3,,,"[""integer_overflow_awareness""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""integer_overflow_awareness""}"
pi::pedagogy::risk::wrong_bounds,pi::pedagogy::risks,,RISK,Wrong Bounds,Common risk: wrong bounds. Useful for hinting and answer validation.,3,3,,,"[""wrong_bounds""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""wrong_bounds""}"
pi::pedagogy::risk::missing_monotonicity_proof,pi::pedagogy::risks,,RISK,Missing Monotonicity Proof,Common risk: missing monotonicity proof. Useful for hinting and answer validation.,3,3,,,"[""missing_monotonicity_proof""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""missing_monotonicity_proof""}"
pi::pedagogy::technique::brute_force,pi::pedagogy::topic::implementation_constructive,,TECHNIQUE,Brute Force,"Technique brute force. Prerequisites: constraint_reading, complexity_estimation. Common risks: tle, bad_complexity.",3,3,,,"[""brute_force"", ""implementation_constructive""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""brute_force""}"
pi::pedagogy::approach::codeforces_2218_E::brute_force,pi::problem::codeforces_2218_E,codeforces_2218_E,APPROACH,The 67th XOR Problem - Brute Force Approach,"This problem can be interpreted through brute force. Evidence: Since $n$ is small, it is enough to brute force all possible pairs $(x, y)$.. Prerequisites: constraint_reading, complexity_estimation. Common risks: tle, bad_complexity.",4,3,codeforces,1200.0,"[""techniques"", ""data_structures"", ""implementation_constructive"", ""brute_force""]","[""techniques"", ""data_structures"", ""implementation_constructive"", ""greedy""]",https://codeforces.com/problemset/problem/2218/E,"{""layer"": ""pedagogical_graph"", ""technique"": ""brute_force"", ""prerequisites"": [""constraint_reading"", ""complexity_estimation""], ""risks"": [""tle"", ""bad_complexity""], ""evidence"": ""Since $n$ is small, it is enough to brute force all possible pairs $(x, y)$.""}"
pi::pedagogy::prerequisite::constraint_reading,pi::pedagogy::prerequisites,,PREREQUISITE,Constraint Reading,Prerequisite skill: constraint reading.,3,3,,,"[""constraint_reading""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""constraint_reading""}"
pi::pedagogy::prerequisite::complexity_estimation,pi::pedagogy::prerequisites,,PREREQUISITE,Complexity Estimation,Prerequisite skill: complexity estimation.,3,3,,,"[""complexity_estimation""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""complexity_estimation""}"
pi::pedagogy::risk::tle,pi::pedagogy::risks,,RISK,Tle,Common risk: tle. Useful for hinting and answer validation.,3,3,,,"[""tle""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""tle""}"
pi::pedagogy::technique::data_structures,pi::pedagogy::topic::data_structures,,TECHNIQUE,Data Structures,"Technique data structures. Prerequisites: operation_invariants, complexity_tradeoffs. Common risks: stale_update, wrong_query_range, complexity_bug.",3,3,,,"[""data_structures"", ""data_structures""]","[""data_structures""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""data_structures""}"
pi::pedagogy::approach::codeforces_2218_E::data_structures,pi::problem::codeforces_2218_E,codeforces_2218_E,APPROACH,The 67th XOR Problem - Data Structures Approach,"This problem can be interpreted through data structures. Evidence: The 67th XOR Problem

E. The 67th XOR Problem
time limit per test
3 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

The PMOI wasn't even that awful - word on the street was that the problems were decent, and even (heaven forbid) enjoyable! To Macaque's dismay, however, three unruly participants (Cloud, ChatGBT and. Prerequisites: operation_invariants, complexity_tradeoffs. Common risks: stale_update, wrong_query_range, complexity_bug.",4,3,codeforces,1200.0,"[""techniques"", ""data_structures"", ""implementation_constructive""]","[""techniques"", ""data_structures"", ""implementation_constructive"", ""greedy""]",https://codeforces.com/problemset/problem/2218/E,"{""layer"": ""pedagogical_graph"", ""technique"": ""data_structures"", ""prerequisites"": [""operation_invariants"", ""complexity_tradeoffs""], ""risks"": [""stale_update"", ""wrong_query_range"", ""complexity_bug""], ""evidence"": ""The 67th XOR Problem\n\nE. The 67th XOR Problem\ntime limit per test\n3 seconds\nmemory limit per test\n256 megabytes\ninput\nstandard input\noutput\nstandard output\n\nThe PMOI wasn't even that awful - word on the street was that the problems were decent, and even (heaven forbid) enjoyable! To Macaque's dismay, however, three unruly participants (Cloud, ChatGBT and""}"
pi::pedagogy::prerequisite::operation_invariants,pi::pedagogy::prerequisites,,PREREQUISITE,Operation Invariants,Prerequisite skill: operation invariants.,3,3,,,"[""operation_invariants""]","[""data_structures""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""operation_invariants""}"
pi::pedagogy::prerequisite::complexity_tradeoffs,pi::pedagogy::prerequisites,,PREREQUISITE,Complexity Tradeoffs,Prerequisite skill: complexity tradeoffs.,3,3,,,"[""complexity_tradeoffs""]","[""data_structures""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""complexity_tradeoffs""}"
pi::pedagogy::risk::stale_update,pi::pedagogy::risks,,RISK,Stale Update,Common risk: stale update. Useful for hinting and answer validation.,3,3,,,"[""stale_update""]","[""data_structures""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""stale_update""}"
pi::pedagogy::risk::wrong_query_range,pi::pedagogy::risks,,RISK,Wrong Query Range,Common risk: wrong query range. Useful for hinting and answer validation.,3,3,,,"[""wrong_query_range""]","[""data_structures""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""wrong_query_range""}"
pi::pedagogy::risk::complexity_bug,pi::pedagogy::risks,,RISK,Complexity Bug,Common risk: complexity bug. Useful for hinting and answer validation.,3,3,,,"[""complexity_bug""]","[""data_structures""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""complexity_bug""}"
pi::pedagogy::technique::greedy,pi::pedagogy::topic::greedy,,TECHNIQUE,Greedy,"Technique greedy. Prerequisites: exchange_argument, invariant_reasoning, counterexample_testing. Common risks: wrong_proof, hidden_counterexample, edge_cases.",3,3,,,"[""greedy"", ""greedy""]","[""greedy""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""greedy""}"
pi::pedagogy::approach::codeforces_2218_E::greedy,pi::problem::codeforces_2218_E,codeforces_2218_E,APPROACH,The 67th XOR Problem - Greedy Approach,"This problem can be interpreted through greedy. Evidence: Inductively, the only thing that matters is the element we choose last for an operation (let it be $x$) and which element we never choose for an operation (let it be $y$).. Prerequisites: exchange_argument, invariant_reasoning, counterexample_testing. Common risks: wrong_proof, hidden_counterexample, edge_cases.",4,3,codeforces,1200.0,"[""techniques"", ""data_structures"", ""implementation_constructive"", ""greedy""]","[""techniques"", ""data_structures"", ""implementation_constructive"", ""greedy""]",https://codeforces.com/problemset/problem/2218/E,"{""layer"": ""pedagogical_graph"", ""technique"": ""greedy"", ""prerequisites"": [""exchange_argument"", ""invariant_reasoning"", ""counterexample_testing""], ""risks"": [""wrong_proof"", ""hidden_counterexample"", ""edge_cases""], ""evidence"": ""Inductively, the only thing that matters is the element we choose last for an operation (let it be $x$) and which element we never choose for an operation (let it be $y$).""}"
pi::pedagogy::prerequisite::exchange_argument,pi::pedagogy::prerequisites,,PREREQUISITE,Exchange Argument,Prerequisite skill: exchange argument.,3,3,,,"[""exchange_argument""]","[""greedy""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""exchange_argument""}"
pi::pedagogy::prerequisite::invariant_reasoning,pi::pedagogy::prerequisites,,PREREQUISITE,Invariant Reasoning,Prerequisite skill: invariant reasoning.,3,3,,,"[""invariant_reasoning""]","[""greedy""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""invariant_reasoning""}"
pi::pedagogy::prerequisite::counterexample_testing,pi::pedagogy::prerequisites,,PREREQUISITE,Counterexample Testing,Prerequisite skill: counterexample testing.,3,3,,,"[""counterexample_testing""]","[""greedy""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""counterexample_testing""}"
pi::pedagogy::risk::wrong_proof,pi::pedagogy::risks,,RISK,Wrong Proof,Common risk: wrong proof. Useful for hinting and answer validation.,3,3,,,"[""wrong_proof""]","[""greedy""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""wrong_proof""}"
pi::pedagogy::risk::hidden_counterexample,pi::pedagogy::risks,,RISK,Hidden Counterexample,Common risk: hidden counterexample. Useful for hinting and answer validation.,3,3,,,"[""hidden_counterexample""]","[""greedy""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""hidden_counterexample""}"
