edge_id,global_problem_id,source_tree_node_id,target_tree_node_id,source_node_key,target_node_key,edge_type,reason,confidence,generation_status
edge::codeforces_2218_D::2::SUPPORTS,codeforces_2218_D,llm::codeforces_2218_D::problem,llm::codeforces_2218_D::model_product_neighbors,problem,model_product_neighbors,SUPPORTS,La solución propone construir a a partir de una secuencia auxiliar b.,0.9,responses_api
edge::codeforces_2218_D::3::SUPPORTS,codeforces_2218_D,llm::codeforces_2218_D::model_product_neighbors,llm::codeforces_2218_D::model_gcd_relation,model_product_neighbors,model_gcd_relation,SUPPORTS,"Se deriva la expresión de gcd(a_i,a_{i+1}) en términos de b.",0.92,responses_api
edge::codeforces_2218_D::4::PROOF_DEPENDS_ON,codeforces_2218_D,llm::codeforces_2218_D::model_gcd_relation,llm::codeforces_2218_D::proof_distinctness,model_gcd_relation,proof_distinctness,PROOF_DEPENDS_ON,"La validez de la unicidad se basa en la condición gcd(b_i,b_{i+2})=1.",0.6,responses_api
edge::codeforces_2218_D::5::ALTERNATIVE_APPROACH,codeforces_2218_D,llm::codeforces_2218_D::problem,llm::codeforces_2218_D::algorithm_way1_primes,problem,algorithm_way1_primes,ALTERNATIVE_APPROACH,Primera forma de elegir b para cumplir la condición.,0.88,responses_api
edge::codeforces_2218_D::6::ALTERNATIVE_APPROACH,codeforces_2218_D,llm::codeforces_2218_D::problem,llm::codeforces_2218_D::algorithm_way2_odds,problem,algorithm_way2_odds,ALTERNATIVE_APPROACH,Segunda forma de elegir b para cumplir la condición.,0.78,responses_api
edge::codeforces_2218_D::7::SAME_STRATEGY,codeforces_2218_D,llm::codeforces_2218_D::algorithm_way1_primes,llm::codeforces_2218_D::model_gcd_relation,algorithm_way1_primes,model_gcd_relation,SAME_STRATEGY,"Ambas construcciones buscan asegurar gcd(b_i,b_{i+2})=1 para que los gcd adyacentes sean distintos.",0.75,responses_api
edge::codeforces_2218_D::8::SAME_STRATEGY,codeforces_2218_D,llm::codeforces_2218_D::algorithm_way2_odds,llm::codeforces_2218_D::model_gcd_relation,algorithm_way2_odds,model_gcd_relation,SAME_STRATEGY,"Ambas construcciones buscan asegurar gcd(b_i,b_{i+2})=1 para que los gcd adyacentes sean distintos.",0.75,responses_api
edge::codeforces_2218_D::9::IMPLEMENTATION_DEPENDS_ON,codeforces_2218_D,llm::codeforces_2218_D::problem,llm::codeforces_2218_D::implementation,problem,implementation,IMPLEMENTATION_DEPENDS_ON,La implementación sigue el esquema a_i=b_i*b_{i+1} descrito en la editorial.,0.6,responses_api
edge::codeforces_2218_D::10::SUPPORTS,codeforces_2218_D,llm::codeforces_2218_D::problem,llm::codeforces_2218_D::common_mistake_gcd_condition,problem,common_mistake_gcd_condition,SUPPORTS,"La condición gcd(b_i,b_{i+2})=1 es explícitamente la clave para la validez.",0.7,responses_api
edge::codeforces_2218_D::11::PREREQUISITE_OF,codeforces_2218_D,llm::codeforces_2218_D::problem,llm::codeforces_2218_D::prerequisite_gcd_definition,problem,prerequisite_gcd_definition,PREREQUISITE_OF,Se requiere entender qué significa gcd para aplicar la fórmula.,0.85,responses_api
edge::codeforces_2218_C::1::SUPPORTS,codeforces_2218_C,llm::codeforces_2218_C::problem,llm::codeforces_2218_C::understanding_median,problem,understanding_median,SUPPORTS,La definición de mediana es necesaria para interpretar la función objetivo.,0.9,responses_api
edge::codeforces_2218_C::2::SUPPORTS,codeforces_2218_C,llm::codeforces_2218_C::problem,llm::codeforces_2218_C::observation_roles,problem,observation_roles,SUPPORTS,El editorial usa una observación para simplificar el problema a roles en triples.,0.9,responses_api
edge::codeforces_2218_C::3::SUPPORTS,codeforces_2218_C,llm::codeforces_2218_C::observation_roles,llm::codeforces_2218_C::algorithm,observation_roles,algorithm,SUPPORTS,La observación sobre large/small y disponibilidad guía la elección greedy de medianas.,0.85,responses_api
edge::codeforces_2218_C::4::PROOF_DEPENDS_ON,codeforces_2218_C,llm::codeforces_2218_C::algorithm,llm::codeforces_2218_C::proof_optimal,algorithm,proof_optimal,PROOF_DEPENDS_ON,La prueba muestra que la construcción greedy cumple la cota necesaria para cualquier solución.,0.8,responses_api
edge::codeforces_2218_C::5::SAME_STRATEGY,codeforces_2218_C,llm::codeforces_2218_C::proof_optimal,llm::codeforces_2218_C::proof_step_availability,proof_optimal,proof_step_availability,SAME_STRATEGY,El paso de disponibilidad es parte central de la prueba.,0.85,responses_api
edge::codeforces_2218_C::6::SAME_STRATEGY,codeforces_2218_C,llm::codeforces_2218_C::proof_optimal,llm::codeforces_2218_C::proof_step_inequality,proof_optimal,proof_step_inequality,SAME_STRATEGY,La desigualdad final deriva la cota sobre las medianas.,0.85,responses_api
edge::codeforces_2218_C::7::SUPPORTS,codeforces_2218_C,llm::codeforces_2218_C::proof_optimal,llm::codeforces_2218_C::model,proof_optimal,model,SUPPORTS,La prueba define triples y ordena las medianas para aplicar el conteo.,0.8,responses_api
edge::codeforces_2218_C::8::IMPLEMENTATION_DEPENDS_ON,codeforces_2218_C,llm::codeforces_2218_C::algorithm,llm::codeforces_2218_C::implementation,algorithm,implementation,IMPLEMENTATION_DEPENDS_ON,La implementación sigue el patrón de triples del algoritmo.,0.7,responses_api
