edge_id,source_node_id,target_node_id,edge_type,reason,confidence
pi_edge::pi_platform_codeforces::pi_topic_codeforces_math,pi::platform::codeforces,pi::topic::codeforces::math,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_platform_codeforces::pi_topic_codeforces_strings,pi::platform::codeforces,pi::topic::codeforces::strings,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_topic_graph_matchings,pi::pedagogy::root,pi::pedagogy::topic::graph_matchings,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_topic_ternary_search,pi::pedagogy::root,pi::pedagogy::topic::ternary_search,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_root::pi_pedagogy_topic_interactive,pi::pedagogy::root,pi::pedagogy::topic::interactive,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_platform_codeforces::pi_topic_codeforces_dynamic_programming,pi::platform::codeforces,pi::topic::codeforces::dynamic_programming,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_case_splitting,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::case_splitting,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_divisibility,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::divisibility,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_index_boundaries,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::index_boundaries,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_modular_arithmetic,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::modular_arithmetic,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_pattern_recognition,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::pattern_recognition,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_range_aggregation,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::range_aggregation,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_validity_proof,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::validity_proof,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_divisibility_edge_case,pi::pedagogy::risks,pi::pedagogy::risk::divisibility_edge_case,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_edge_cases,pi::pedagogy::risks,pi::pedagogy::risk::edge_cases,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_indexing_bug,pi::pedagogy::risks,pi::pedagogy::risk::indexing_bug,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_invalid_construction,pi::pedagogy::risks,pi::pedagogy::risk::invalid_construction,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_modulo_bug,pi::pedagogy::risks,pi::pedagogy::risk::modulo_bug,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_off_by_one,pi::pedagogy::risks,pi::pedagogy::risk::off_by_one,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_overflow,pi::pedagogy::risks,pi::pedagogy::risk::overflow,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_proof_gap,pi::pedagogy::risks,pi::pedagogy::risk::proof_gap,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_topic_implementation_constructive::pi_pedagogy_technique_constructive,pi::pedagogy::topic::implementation_constructive,pi::pedagogy::technique::constructive,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_topic_math::pi_pedagogy_technique_number_theory,pi::pedagogy::topic::math,pi::pedagogy::technique::number_theory,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_topic_techniques::pi_pedagogy_technique_prefix_sums,pi::pedagogy::topic::techniques,pi::pedagogy::technique::prefix_sums,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2218_G,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2218_G,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_base_cases,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::base_cases,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_dfs_bfs,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::dfs_bfs,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_graph_modeling,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::graph_modeling,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_state_design,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::state_design,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_transition_reasoning,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::transition_reasoning,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_tree_invariants,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::tree_invariants,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_bad_complexity,pi::pedagogy::risks,pi::pedagogy::risk::bad_complexity,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_missing_base_case,pi::pedagogy::risks,pi::pedagogy::risk::missing_base_case,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_recursion_depth,pi::pedagogy::risks,pi::pedagogy::risk::recursion_depth,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_visited_state_bug,pi::pedagogy::risks,pi::pedagogy::risk::visited_state_bug,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_wrong_state,pi::pedagogy::risks,pi::pedagogy::risk::wrong_state,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_wrong_tree_root,pi::pedagogy::risks,pi::pedagogy::risk::wrong_tree_root,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_topic_dynamic_programming::pi_pedagogy_technique_dynamic_programming,pi::pedagogy::topic::dynamic_programming,pi::pedagogy::technique::dynamic_programming,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_topic_graphs::pi_pedagogy_technique_graphs,pi::pedagogy::topic::graphs,pi::pedagogy::technique::graphs,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2218_F,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2218_F,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_bounds_reasoning,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::bounds_reasoning,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_complexity_estimation,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::complexity_estimation,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_complexity_tradeoffs,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::complexity_tradeoffs,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_constraint_reading,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::constraint_reading,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_counterexample_testing,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::counterexample_testing,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_exchange_argument,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::exchange_argument,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_integer_overflow_awareness,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::integer_overflow_awareness,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_invariant_reasoning,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::invariant_reasoning,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_monotonic_predicate,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::monotonic_predicate,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_operation_invariants,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::operation_invariants,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_complexity_bug,pi::pedagogy::risks,pi::pedagogy::risk::complexity_bug,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_hidden_counterexample,pi::pedagogy::risks,pi::pedagogy::risk::hidden_counterexample,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_missing_monotonicity_proof,pi::pedagogy::risks,pi::pedagogy::risk::missing_monotonicity_proof,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_stale_update,pi::pedagogy::risks,pi::pedagogy::risk::stale_update,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_tle,pi::pedagogy::risks,pi::pedagogy::risk::tle,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_wrong_bounds,pi::pedagogy::risks,pi::pedagogy::risk::wrong_bounds,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_wrong_proof,pi::pedagogy::risks,pi::pedagogy::risk::wrong_proof,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_wrong_query_range,pi::pedagogy::risks,pi::pedagogy::risk::wrong_query_range,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_topic_techniques::pi_pedagogy_technique_binary_search,pi::pedagogy::topic::techniques,pi::pedagogy::technique::binary_search,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_topic_implementation_constructive::pi_pedagogy_technique_brute_force,pi::pedagogy::topic::implementation_constructive,pi::pedagogy::technique::brute_force,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_topic_data_structures::pi_pedagogy_technique_data_structures,pi::pedagogy::topic::data_structures,pi::pedagogy::technique::data_structures,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_topic_greedy::pi_pedagogy_technique_greedy,pi::pedagogy::topic::greedy,pi::pedagogy::technique::greedy,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_techniques::pi_problem_codeforces_2218_E,pi::topic::codeforces::techniques,pi::problem::codeforces_2218_E,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2218_D,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2218_D,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_ordering_argument,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::ordering_argument,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_tie_handling,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::tie_handling,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_tie_handling,pi::pedagogy::risks,pi::pedagogy::risk::tie_handling,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_wrong_ordering,pi::pedagogy::risks,pi::pedagogy::risk::wrong_ordering,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_topic_techniques::pi_pedagogy_technique_sorting,pi::pedagogy::topic::techniques,pi::pedagogy::technique::sorting,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2218_C,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2218_C,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_greedy::pi_problem_codeforces_2218_B,pi::topic::codeforces::greedy,pi::problem::codeforces_2218_B,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2218_A,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2218_A,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_techniques::pi_problem_codeforces_2185_H,pi::topic::codeforces::techniques,pi::problem::codeforces_2185_H,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_data_structures::pi_problem_codeforces_2185_G,pi::topic::codeforces::data_structures,pi::problem::codeforces_2185_G,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_data_structures::pi_problem_codeforces_2185_F,pi::topic::codeforces::data_structures,pi::problem::codeforces_2185_F,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_monotonic_window,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::monotonic_window,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_pointer_invariant_bug,pi::pedagogy::risks,pi::pedagogy::risk::pointer_invariant_bug,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_topic_techniques::pi_pedagogy_technique_two_pointers,pi::pedagogy::topic::techniques,pi::pedagogy::technique::two_pointers,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_techniques::pi_problem_codeforces_2185_E,pi::topic::codeforces::techniques,pi::problem::codeforces_2185_E,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_data_structures::pi_problem_codeforces_2185_D,pi::topic::codeforces::data_structures,pi::problem::codeforces_2185_D,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2185_C,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2185_C,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_greedy::pi_problem_codeforces_2185_B,pi::topic::codeforces::greedy,pi::problem::codeforces_2185_B,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_algebraic_modeling,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::algebraic_modeling,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_integer_square_root,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::integer_square_root,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_prerequisites::pi_pedagogy_prerequisite_overflow_awareness,pi::pedagogy::prerequisites,pi::pedagogy::prerequisite::overflow_awareness,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_invalid_integer_root,pi::pedagogy::risks,pi::pedagogy::risk::invalid_integer_root,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_risks::pi_pedagogy_risk_precision_error,pi::pedagogy::risks,pi::pedagogy::risk::precision_error,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_pedagogy_topic_math::pi_pedagogy_technique_direct_formula,pi::pedagogy::topic::math,pi::pedagogy::technique::direct_formula,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2185_A,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2185_A,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_data_structures::pi_problem_codeforces_2167_G,pi::topic::codeforces::data_structures,pi::problem::codeforces_2167_G,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_graphs::pi_problem_codeforces_2167_F,pi::topic::codeforces::graphs,pi::problem::codeforces_2167_F,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_techniques::pi_problem_codeforces_2167_E,pi::topic::codeforces::techniques,pi::problem::codeforces_2167_E,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2167_D,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2167_D,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2167_C,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2167_C,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_techniques::pi_problem_codeforces_2167_B,pi::topic::codeforces::techniques,pi::problem::codeforces_2167_B,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_math::pi_problem_codeforces_2167_A,pi::topic::codeforces::math,pi::problem::codeforces_2167_A,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_techniques::pi_problem_codeforces_2148_G,pi::topic::codeforces::techniques,pi::problem::codeforces_2148_G,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_greedy::pi_problem_codeforces_2148_F,pi::topic::codeforces::greedy,pi::problem::codeforces_2148_F,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_techniques::pi_problem_codeforces_2148_E,pi::topic::codeforces::techniques,pi::problem::codeforces_2148_E,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2148_D,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2148_D,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_greedy::pi_problem_codeforces_2148_C,pi::topic::codeforces::greedy,pi::problem::codeforces_2148_C,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_math::pi_problem_codeforces_2148_B,pi::topic::codeforces::math,pi::problem::codeforces_2148_B,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2148_A,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2148_A,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_techniques::pi_problem_codeforces_2094_H,pi::topic::codeforces::techniques,pi::problem::codeforces_2094_H,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_data_structures::pi_problem_codeforces_2094_G,pi::topic::codeforces::data_structures,pi::problem::codeforces_2094_G,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2094_F,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2094_F,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_data_structures::pi_problem_codeforces_2094_E,pi::topic::codeforces::data_structures,pi::problem::codeforces_2094_E,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_greedy::pi_problem_codeforces_2094_D,pi::topic::codeforces::greedy,pi::problem::codeforces_2094_D,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_math::pi_problem_codeforces_2094_C,pi::topic::codeforces::math,pi::problem::codeforces_2094_C,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2094_B,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2094_B,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_strings::pi_problem_codeforces_2094_A,pi::topic::codeforces::strings,pi::problem::codeforces_2094_A,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_math::pi_problem_codeforces_2065_H,pi::topic::codeforces::math,pi::problem::codeforces_2065_H,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_math::pi_problem_codeforces_2065_G,pi::topic::codeforces::math,pi::problem::codeforces_2065_G,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_data_structures::pi_problem_codeforces_2065_F,pi::topic::codeforces::data_structures,pi::problem::codeforces_2065_F,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2065_E,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2065_E,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_greedy::pi_problem_codeforces_2065_D,pi::topic::codeforces::greedy,pi::problem::codeforces_2065_D,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_techniques::pi_problem_codeforces_2065_C2,pi::topic::codeforces::techniques,pi::problem::codeforces_2065_C2,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_techniques::pi_problem_codeforces_2065_C1,pi::topic::codeforces::techniques,pi::problem::codeforces_2065_C1,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_strings::pi_problem_codeforces_2065_B,pi::topic::codeforces::strings,pi::problem::codeforces_2065_B,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2065_A,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2065_A,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2044_H,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2044_H,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_graphs::pi_problem_codeforces_2044_G2,pi::topic::codeforces::graphs,pi::problem::codeforces_2044_G2,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_graphs::pi_problem_codeforces_2044_G1,pi::topic::codeforces::graphs,pi::problem::codeforces_2044_G1,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_techniques::pi_problem_codeforces_2044_F,pi::topic::codeforces::techniques,pi::problem::codeforces_2044_F,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_techniques::pi_problem_codeforces_2044_E,pi::topic::codeforces::techniques,pi::problem::codeforces_2044_E,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2044_D,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2044_D,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_greedy::pi_problem_codeforces_2044_C,pi::topic::codeforces::greedy,pi::problem::codeforces_2044_C,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2044_B,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2044_B,PARENT_OF,Tree parent-child relationship.,1.0
pi_edge::pi_topic_codeforces_implementation_constructive::pi_problem_codeforces_2044_A,pi::topic::codeforces::implementation_constructive,pi::problem::codeforces_2044_A,PARENT_OF,Tree parent-child relationship.,1.0
