node_id,parent_node_id,global_problem_id,node_type,title,text,depth,order,source,normalized_difficulty,normalized_tags,topic_group,url,metadata
pi::pedagogy::topic::graph_matchings,pi::pedagogy::root,,TOPIC,Graph Matchings,Competitive programming topic: graph_matchings.,2,49,,,"[""graph_matchings""]","[""graph_matchings""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""graph_matchings""}"
pi::pedagogy::topic::ternary_search,pi::pedagogy::root,,TOPIC,Ternary Search,Competitive programming topic: ternary_search.,2,60,,,"[""ternary_search""]","[""ternary_search""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""ternary_search""}"
pi::pedagogy::topic::interactive,pi::pedagogy::root,,TOPIC,Interactive,Competitive programming topic: interactive.,2,65,,,"[""interactive""]","[""interactive""]",,"{""layer"": ""pedagogical_graph"", ""topic"": ""interactive""}"
pi::topic::codeforces::dynamic_programming,pi::platform::codeforces,,TOPIC,Dynamic Programming,dynamic_programming implementation_constructive math,2,68,codeforces,,"[""dynamic_programming"", ""implementation_constructive"", ""math""]","[""dynamic_programming"", ""implementation_constructive"", ""math""]",,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/1999/E"", ""normalized_tags"": [""dynamic_programming"", ""implementation_constructive"", ""math""], ""topic_group"": [""dynamic_programming"", ""implementation_constructive"", ""math""], ""difficulty"": 1300.0, ""topic"": ""dynamic_programming""}"
pi::pedagogy::prerequisite::case_splitting,pi::pedagogy::prerequisites,,PREREQUISITE,Case Splitting,Prerequisite skill: case splitting.,3,1,,,"[""case_splitting""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""case_splitting""}"
pi::pedagogy::prerequisite::divisibility,pi::pedagogy::prerequisites,,PREREQUISITE,Divisibility,Prerequisite skill: divisibility.,3,1,,,"[""divisibility""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""divisibility""}"
pi::pedagogy::prerequisite::index_boundaries,pi::pedagogy::prerequisites,,PREREQUISITE,Index Boundaries,Prerequisite skill: index boundaries.,3,1,,,"[""index_boundaries""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""index_boundaries""}"
pi::pedagogy::prerequisite::modular_arithmetic,pi::pedagogy::prerequisites,,PREREQUISITE,Modular Arithmetic,Prerequisite skill: modular arithmetic.,3,1,,,"[""modular_arithmetic""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""modular_arithmetic""}"
pi::pedagogy::prerequisite::pattern_recognition,pi::pedagogy::prerequisites,,PREREQUISITE,Pattern Recognition,Prerequisite skill: pattern recognition.,3,1,,,"[""pattern_recognition""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""pattern_recognition""}"
pi::pedagogy::prerequisite::range_aggregation,pi::pedagogy::prerequisites,,PREREQUISITE,Range Aggregation,Prerequisite skill: range aggregation.,3,1,,,"[""range_aggregation""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""range_aggregation""}"
pi::pedagogy::prerequisite::validity_proof,pi::pedagogy::prerequisites,,PREREQUISITE,Validity Proof,Prerequisite skill: validity proof.,3,1,,,"[""validity_proof""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""validity_proof""}"
pi::pedagogy::risk::divisibility_edge_case,pi::pedagogy::risks,,RISK,Divisibility Edge Case,Common risk: divisibility edge case. Useful for hinting and answer validation.,3,1,,,"[""divisibility_edge_case""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""divisibility_edge_case""}"
pi::pedagogy::risk::edge_cases,pi::pedagogy::risks,,RISK,Edge Cases,Common risk: edge cases. Useful for hinting and answer validation.,3,1,,,"[""edge_cases""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""edge_cases""}"
pi::pedagogy::risk::indexing_bug,pi::pedagogy::risks,,RISK,Indexing Bug,Common risk: indexing bug. Useful for hinting and answer validation.,3,1,,,"[""indexing_bug""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""indexing_bug""}"
pi::pedagogy::risk::invalid_construction,pi::pedagogy::risks,,RISK,Invalid Construction,Common risk: invalid construction. Useful for hinting and answer validation.,3,1,,,"[""invalid_construction""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""invalid_construction""}"
pi::pedagogy::risk::modulo_bug,pi::pedagogy::risks,,RISK,Modulo Bug,Common risk: modulo bug. Useful for hinting and answer validation.,3,1,,,"[""modulo_bug""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""modulo_bug""}"
pi::pedagogy::risk::off_by_one,pi::pedagogy::risks,,RISK,Off By One,Common risk: off by one. Useful for hinting and answer validation.,3,1,,,"[""off_by_one""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""off_by_one""}"
pi::pedagogy::risk::overflow,pi::pedagogy::risks,,RISK,Overflow,Common risk: overflow. Useful for hinting and answer validation.,3,1,,,"[""overflow""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""overflow""}"
pi::pedagogy::risk::proof_gap,pi::pedagogy::risks,,RISK,Proof Gap,Common risk: proof gap. Useful for hinting and answer validation.,3,1,,,"[""proof_gap""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""proof_gap""}"
pi::pedagogy::technique::constructive,pi::pedagogy::topic::implementation_constructive,,TECHNIQUE,Constructive,"Technique constructive. Prerequisites: pattern_recognition, case_splitting, validity_proof. Common risks: invalid_construction, edge_cases, proof_gap.",3,1,,,"[""constructive"", ""implementation_constructive""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""constructive""}"
pi::pedagogy::technique::number_theory,pi::pedagogy::topic::math,,TECHNIQUE,Number Theory,"Technique number theory. Prerequisites: divisibility, modular_arithmetic. Common risks: modulo_bug, overflow, divisibility_edge_case.",3,1,,,"[""number_theory"", ""math""]","[""math""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""number_theory""}"
pi::pedagogy::technique::prefix_sums,pi::pedagogy::topic::techniques,,TECHNIQUE,Prefix Sums,"Technique prefix sums. Prerequisites: range_aggregation, index_boundaries. Common risks: indexing_bug, off_by_one.",3,1,,,"[""prefix_sums"", ""techniques""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""prefix_sums""}"
pi::problem::codeforces_2218_G,pi::topic::codeforces::implementation_constructive,codeforces_2218_G,PROBLEM,"The 67th Iteration of ""Counting is Fun""","The 67th Iteration of ""Counting is Fun""

G. The 67th Iteration of ""Counting is Fun""
time limit per test
2 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Macaque has taken you to his habitat, shown you his job, and even forced you to do his homework for him. While it might have not been easy for you, Macaque has grown to like you and even, possibly, harbour some gratitude towards you. However, all is not finished, for Macaque has to solve his most difficult problem yet. Solving this is a matter of life or death, and determines whether Macaque can finally reach enlightenment and retreat to solitude in an organ loft for the rest of eternity. Good luck.
You are given two integers $n$ and $m$, and an array $b$ of length $n$ ($0 \le b_i \lt m$). It is guaranteed that every integer from $0$ to $m-1$ appears in $b$ at least once.
A group of $n$ people are standing in a line, in fixed positions numbered $1, 2, \dots, n$. They all want to sit down, but some are too socially awkward to do so immediately.
For some arbitrary array $a$ of length $n$ ($0 \le a_i \lt n$), each person $i$ has a social awkwardness level $a_i$. Consider the seating process which evolves in
discrete units of time
$0, 1, 2, \dots$ as follows:
If $a_i = 0$, person $i$ will sit down at time $0$.
Otherwise ($a_i \gt 0$), person $i$ will sit down at the beginning of a time unit $t$ if
both
of the following conditions are satisfied:
At least $a_i$ people have already sat down
strictly before
time $t$.
At least one of their neighbors (person $i - 1$ or $i + 1$, if they exist) has already sat down
strictly before
time $t$.
At the beginning of every unit of time, each standing person checks these conditions. All people for whom the conditions are satisfied sit down
simultaneously
, and then the process advances to the next unit of time.
For each $i$, the value $b_i$ denotes the time unit at which person $i$ sits down. Your task is to determine
how many distinct arrays $a$
are consistent with the given array $b$. Since this number can be very large, output it modulo $676767677$.
Please note that this problem uses an unusual modulo
, and that $676767677$ is prime.

G - The 67th Iteration of ""Counting is Fun""
Hint 1
When is there no valid $a$?
Hint 2
Remember for a person $i$ with $b_i \gt 0$ to be able to sit down, one of their neighbours already needs to be sat down.
Hint 3
What do you notice about people where $b_i = 0$?
Hint 4
If $b_i = 0$, then $a_i$ must also equal $0$.
Solution
If a person $i$ with $b_i \gt 0$ has no neighbour with a smaller $b_i$, they would never sit down so there is no valid $a$ so we output $0$.
We can observe that all $a_i$ are independent of each other so long as they are consistent with the array $b$. This means we can compute the number of possible $a_i$ for every $i$ separately.
Let $c_t$ be the number of people sat down at time $t$ or earlier. This is all people where $b_i \leq t$. For a time $t$, we can calculate $c_t$ using prefix sums as it is the sum of $c_{t-1}$ and the number of people that sit down at time $t$.
For a person to sit down at time $t$, two conditions had to be met:
At least $a_i$ people have already sat down strictly before time $t$.
At least one of their neighbors (person $i-1$ or $i+1$, if they exist) has already sat down strictly before time $t$.
We can now split people into $2$ types depending on which condition occurs first for them.
Type A: Condition $1$ is satisfied first. This means they are waiting for one of their neighbours to sit down so they can sit down. A person is of this type if the earliest time one of their neighbours sat down is exactly $1$ less than the time they sat down. This means their $a_i$ can be any value between $1$ and $c_{t-1}$ inclusive so there are $c_{t-1}$ possible values.
Type B: Condition $2$ is satisfied first. This means they are waiting for enough people to have sat down. A person is of this type if the time they sit down is at least $2$ greater than the earliest time one of their neighbours sat down. Since they did not sit down at time $t-1$, their $a_i$ must be greater than $c_{t-2}$. This means it must be between $c_{t-2}+1$ and $c_{t-1}$ inclusive, giving $c_{t-1}-c_{t-2}$ possibilities.
We can iterate over all people $i$ and look at the earliest time one of their neighbours sat down to find out which type of person they are, and then compute how many valid $a_i$ there are for them.
Finally, we can multiply the number of valid $a_i$ for every person, and output this modulo $676767677$.",3,1,codeforces,1800.0,"[""implementation_constructive"", ""math""]","[""implementation_constructive"", ""math""]",https://codeforces.com/problemset/problem/2218/G,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2218/G"", ""normalized_tags"": [""implementation_constructive"", ""math""], ""topic_group"": [""implementation_constructive"", ""math""], ""difficulty"": 1800.0, ""rating"": 1800.0, ""problem_index"": ""G""}"
pi::pedagogy::prerequisite::base_cases,pi::pedagogy::prerequisites,,PREREQUISITE,Base Cases,Prerequisite skill: base cases.,3,2,,,"[""base_cases""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""base_cases""}"
pi::pedagogy::prerequisite::dfs_bfs,pi::pedagogy::prerequisites,,PREREQUISITE,Dfs Bfs,Prerequisite skill: dfs bfs.,3,2,,,"[""dfs_bfs""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""dfs_bfs""}"
pi::pedagogy::prerequisite::graph_modeling,pi::pedagogy::prerequisites,,PREREQUISITE,Graph Modeling,Prerequisite skill: graph modeling.,3,2,,,"[""graph_modeling""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""graph_modeling""}"
pi::pedagogy::prerequisite::state_design,pi::pedagogy::prerequisites,,PREREQUISITE,State Design,Prerequisite skill: state design.,3,2,,,"[""state_design""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""state_design""}"
pi::pedagogy::prerequisite::transition_reasoning,pi::pedagogy::prerequisites,,PREREQUISITE,Transition Reasoning,Prerequisite skill: transition reasoning.,3,2,,,"[""transition_reasoning""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""transition_reasoning""}"
pi::pedagogy::prerequisite::tree_invariants,pi::pedagogy::prerequisites,,PREREQUISITE,Tree Invariants,Prerequisite skill: tree invariants.,3,2,,,"[""tree_invariants""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""tree_invariants""}"
pi::pedagogy::risk::bad_complexity,pi::pedagogy::risks,,RISK,Bad Complexity,Common risk: bad complexity. Useful for hinting and answer validation.,3,2,,,"[""bad_complexity""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""bad_complexity""}"
pi::pedagogy::risk::missing_base_case,pi::pedagogy::risks,,RISK,Missing Base Case,Common risk: missing base case. Useful for hinting and answer validation.,3,2,,,"[""missing_base_case""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""missing_base_case""}"
pi::pedagogy::risk::recursion_depth,pi::pedagogy::risks,,RISK,Recursion Depth,Common risk: recursion depth. Useful for hinting and answer validation.,3,2,,,"[""recursion_depth""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""recursion_depth""}"
pi::pedagogy::risk::visited_state_bug,pi::pedagogy::risks,,RISK,Visited State Bug,Common risk: visited state bug. Useful for hinting and answer validation.,3,2,,,"[""visited_state_bug""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""visited_state_bug""}"
pi::pedagogy::risk::wrong_state,pi::pedagogy::risks,,RISK,Wrong State,Common risk: wrong state. Useful for hinting and answer validation.,3,2,,,"[""wrong_state""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""wrong_state""}"
pi::pedagogy::risk::wrong_tree_root,pi::pedagogy::risks,,RISK,Wrong Tree Root,Common risk: wrong tree root. Useful for hinting and answer validation.,3,2,,,"[""wrong_tree_root""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""wrong_tree_root""}"
pi::pedagogy::technique::dynamic_programming,pi::pedagogy::topic::dynamic_programming,,TECHNIQUE,Dynamic Programming,"Technique dynamic programming. Prerequisites: state_design, transition_reasoning, base_cases. Common risks: wrong_state, missing_base_case, bad_complexity.",3,2,,,"[""dynamic_programming"", ""dynamic_programming""]","[""dynamic_programming""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""dynamic_programming""}"
pi::pedagogy::technique::graphs,pi::pedagogy::topic::graphs,,TECHNIQUE,Graphs,"Technique graphs. Prerequisites: graph_modeling, dfs_bfs, tree_invariants. Common risks: visited_state_bug, recursion_depth, wrong_tree_root.",3,2,,,"[""graphs"", ""graphs""]","[""graphs""]",,"{""layer"": ""pedagogical_graph"", ""technique"": ""graphs""}"
pi::problem::codeforces_2218_F,pi::topic::codeforces::implementation_constructive,codeforces_2218_F,PROBLEM,The 67th Tree Problem,"The 67th Tree Problem

F. The 67th Tree Problem
time limit per test
4 seconds
memory limit per test
256 megabytes
input
standard input
output
standard output

Now that PMOI season is over (Cloud emerged victorious), Macaque can continue on his journey towards enlightenment. The problems he is to solve are getting harder, the burden of the past lives is getting heavier, and you are losing your free will at such a rate that you struggle to remember the last time you did anything out of your own volition without being coerced by Macaque. The only upside for you is that Macaque is giving you a free tour of his current habitat up in the trees once you solve the following problem for him.
You are given two integers $x$ and $y$.
Your task is to construct a tree with $x + y$ nodes, rooted at node $1$, such that:
Exactly $x$ nodes in the tree have
even
subtree $^{\text{∗}}$ size.
Exactly $y$ nodes in the tree have
odd
subtree size.
If multiple valid trees exist, you may output any of them. If there is no such tree, output
NO
.
$^{\text{∗}}$ The subtree of a vertex $u$ is the set of all vertices that pass through $u$ on a simple path to the root (including $u$ itself).

F - The 67th Tree Problem
Hint 1
We know that the number of vertices in the entire tree is $x+y$. Therefore, the subtree of the root has size $x+y$. So if $x+y$ is even and $x$ is zero, there is no valid tree. Similarly, if $x+y$ is odd and $y$ is zero, there is no valid tree. From this point onwards, we can now exclude the root by decrementing either $x$ or $y$, and only considering the other vertices. The root will be trivially satisfied.
Hint 2
We claim that for any vertex whose subtree has an even size, it must have at least one child with an odd size. Indeed, suppose all of its children have even size. Then the total number of vertices in the subtree will be the sum of some even numbers, plus one, the node itself. By contrapositive, this implies the desired claim.
Therefore, if the number of vertices with an even subtree size is larger than the number of vertices with an odd subtree size (excluding the root), there is no valid tree.
Hint 3
All other cases are possible.
Solution
Read the hints.
Now, we will try to make every vertex (excluding the root) have subtree size either $1$ or $2$. To do this, we will attach $x$ disjoint pairs of vertices. Then we will attach each pair, and all of the remaining vertices, to the root. Now, the number of vertices with an even subtree size is exactly $x$, the parent from each of the pairs, as desired.",3,2,codeforces,1500.0,"[""implementation_constructive"", ""graphs""]","[""implementation_constructive"", ""graphs""]",https://codeforces.com/problemset/problem/2218/F,"{""source"": ""codeforces"", ""url"": ""https://codeforces.com/problemset/problem/2218/F"", ""normalized_tags"": [""implementation_constructive"", ""graphs""], ""topic_group"": [""implementation_constructive"", ""graphs""], ""difficulty"": 1500.0, ""rating"": 1500.0, ""problem_index"": ""F""}"
pi::pedagogy::prerequisite::bounds_reasoning,pi::pedagogy::prerequisites,,PREREQUISITE,Bounds Reasoning,Prerequisite skill: bounds reasoning.,3,3,,,"[""bounds_reasoning""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""bounds_reasoning""}"
pi::pedagogy::prerequisite::complexity_estimation,pi::pedagogy::prerequisites,,PREREQUISITE,Complexity Estimation,Prerequisite skill: complexity estimation.,3,3,,,"[""complexity_estimation""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""complexity_estimation""}"
pi::pedagogy::prerequisite::complexity_tradeoffs,pi::pedagogy::prerequisites,,PREREQUISITE,Complexity Tradeoffs,Prerequisite skill: complexity tradeoffs.,3,3,,,"[""complexity_tradeoffs""]","[""data_structures""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""complexity_tradeoffs""}"
pi::pedagogy::prerequisite::constraint_reading,pi::pedagogy::prerequisites,,PREREQUISITE,Constraint Reading,Prerequisite skill: constraint reading.,3,3,,,"[""constraint_reading""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""constraint_reading""}"
pi::pedagogy::prerequisite::counterexample_testing,pi::pedagogy::prerequisites,,PREREQUISITE,Counterexample Testing,Prerequisite skill: counterexample testing.,3,3,,,"[""counterexample_testing""]","[""greedy""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""counterexample_testing""}"
pi::pedagogy::prerequisite::exchange_argument,pi::pedagogy::prerequisites,,PREREQUISITE,Exchange Argument,Prerequisite skill: exchange argument.,3,3,,,"[""exchange_argument""]","[""greedy""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""exchange_argument""}"
pi::pedagogy::prerequisite::integer_overflow_awareness,pi::pedagogy::prerequisites,,PREREQUISITE,Integer Overflow Awareness,Prerequisite skill: integer overflow awareness.,3,3,,,"[""integer_overflow_awareness""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""integer_overflow_awareness""}"
pi::pedagogy::prerequisite::invariant_reasoning,pi::pedagogy::prerequisites,,PREREQUISITE,Invariant Reasoning,Prerequisite skill: invariant reasoning.,3,3,,,"[""invariant_reasoning""]","[""greedy""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""invariant_reasoning""}"
pi::pedagogy::prerequisite::monotonic_predicate,pi::pedagogy::prerequisites,,PREREQUISITE,Monotonic Predicate,Prerequisite skill: monotonic predicate.,3,3,,,"[""monotonic_predicate""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""monotonic_predicate""}"
pi::pedagogy::prerequisite::operation_invariants,pi::pedagogy::prerequisites,,PREREQUISITE,Operation Invariants,Prerequisite skill: operation invariants.,3,3,,,"[""operation_invariants""]","[""data_structures""]",,"{""layer"": ""pedagogical_graph"", ""prerequisite"": ""operation_invariants""}"
pi::pedagogy::risk::complexity_bug,pi::pedagogy::risks,,RISK,Complexity Bug,Common risk: complexity bug. Useful for hinting and answer validation.,3,3,,,"[""complexity_bug""]","[""data_structures""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""complexity_bug""}"
pi::pedagogy::risk::hidden_counterexample,pi::pedagogy::risks,,RISK,Hidden Counterexample,Common risk: hidden counterexample. Useful for hinting and answer validation.,3,3,,,"[""hidden_counterexample""]","[""greedy""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""hidden_counterexample""}"
pi::pedagogy::risk::missing_monotonicity_proof,pi::pedagogy::risks,,RISK,Missing Monotonicity Proof,Common risk: missing monotonicity proof. Useful for hinting and answer validation.,3,3,,,"[""missing_monotonicity_proof""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""missing_monotonicity_proof""}"
pi::pedagogy::risk::stale_update,pi::pedagogy::risks,,RISK,Stale Update,Common risk: stale update. Useful for hinting and answer validation.,3,3,,,"[""stale_update""]","[""data_structures""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""stale_update""}"
pi::pedagogy::risk::tle,pi::pedagogy::risks,,RISK,Tle,Common risk: tle. Useful for hinting and answer validation.,3,3,,,"[""tle""]","[""implementation_constructive""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""tle""}"
pi::pedagogy::risk::wrong_bounds,pi::pedagogy::risks,,RISK,Wrong Bounds,Common risk: wrong bounds. Useful for hinting and answer validation.,3,3,,,"[""wrong_bounds""]","[""techniques""]",,"{""layer"": ""pedagogical_graph"", ""risk"": ""wrong_bounds""}"
